published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-09-21,189.2,206.0,189.2,204.45,5.93,139811.0,28080777.7,0
2025-09-22,189.2,206.0,189.2,204.45,5.93,139811.0,28080777.7,0
2025-09-23,208.5,208.5,204.0,205.0,0.27,93227.0,19155109.1,0
2025-09-24,209.0,209.0,203.0,205.0,0.0,37879.0,7749552.1,0
2025-09-25,207.5,207.5,204.4,206.0,0.49,38465.0,7897131.0,0
2025-09-26,207.5,207.5,204.4,206.0,0.49,38465.0,7897131.0,0
2025-09-27,207.5,207.5,204.4,206.0,0.49,38465.0,7897131.0,0
2025-09-28,206.0,208.7,205.1,208.0,0.97,35961.0,7427393.3,0
2025-09-29,206.0,208.7,205.1,208.0,0.97,35961.0,7427393.3,0
2025-09-30,206.0,208.7,205.1,208.0,0.97,35961.0,7427393.3,0
2025-10-01,206.0,208.7,205.1,208.0,0.97,35961.0,7427393.3,0
2025-10-02,206.0,208.7,205.1,208.0,0.97,35961.0,7427393.3,0
2025-10-03,206.0,208.7,205.1,208.0,0.97,35961.0,7427393.3,0
2025-10-04,206.0,208.7,205.1,208.0,0.97,35961.0,7427393.3,0
2025-10-05,206.0,208.7,205.1,208.0,0.97,35961.0,7427393.3,0
2025-10-06,206.0,208.7,205.1,208.0,0.97,35961.0,7427393.3,0
2025-10-07,208.0,208.9,203.0,206.9,-0.53,201747.0,41250256.7,0
2025-10-08,207.9,207.9,200.1,203.9,-1.45,82328.0,16608653.9,0
2025-10-09,207.9,215.0,204.3,205.0,0.54,92368.0,19056006.5,0
2025-10-10,207.9,215.0,204.3,205.0,0.54,92368.0,19056006.5,0
2025-10-11,207.9,215.0,204.3,205.0,0.54,92368.0,19056006.5,0
2025-10-12,205.0,205.0,198.6,200.0,-2.44,141632.0,28399637.0,0
2025-10-13,204.0,204.0,196.2,201.0,0.5,59328.0,11901846.4,0
2025-10-14,203.9,203.9,198.0,198.0,-1.49,77389.0,15396082.0,0
2025-10-15,201.9,201.9,197.0,197.2,-0.4,40769.0,8074435.0,0
